"","total_reads","n_contigs","assembly_length","N50","human_reads","Busco_M","Busco_C","Busco_F","Busco_CF"
"Oribatida",NA,27734,110055134,8576,2.39,5.6,93,1.4,94.4
"Acari",NA,4772,3400999,682,40.4,99.8,0.1,0.1,0.2
"Oribatida",NA,58128,77644832,1576,7.59,21.3,70.1,8.6,78.7
"Oribatida",NA,47853,126220950,4321,8.62,6.1,91.8,2.1,93.9
"Oribatida",NA,73414,113810809,1913,4.09999999999999,15.8,78.1,6.1,84.2
"Oribatida",NA,1897,1286024,635,16.75,100,0,0,0
"Oribatida",NA,15871,85109683,13618,NA,7.8,90.8,1.4,92.2
"Oribatida",NA,80501,182477276,3314,1.45999999999999,11.2,82.1,6.7,88.8
"Acari",NA,78074,156105908,2753,NA,9.4,85.9,4.7,90.6
"Oribatida",NA,45189,122524533,4600,NA,8.3,88.8,2.9,91.7
"Oribatida",NA,56159,120134531,3436,6.43000000000001,9.4,86.8,3.8,90.6
"Oribatida",NA,46886,105149395,4045,2.2,7.8,88.9,3.3,92.2
"Oribatida",NA,10453,73591724,19133,5.92,8.3,90.6,1.1,91.7
"Oribatida",NA,23662,81867180,5828,18.94,7.1,91.4,1.5,92.9
"Oribatida",NA,52883,54120335,1104,3.59999999999999,39.8,44.5,15.7,60.2
"Oribatida",NA,13773,86254419,18229,2.43000000000001,7.6,91.5,0.9,92.4
"Myriapoda",NA,45812,42821307,932,8.73,84.2,3.5,12.3,15.8
"Myriapoda",NA,135070,155570626,1283,0.739999999999995,29.8,31.6,38.6,70.2
"Myriapoda",NA,62842,193592670,5835,0.430000000000007,9.2,76.9,13.9,90.8
"Myriapoda",NA,22234,17398169,686,0.680000000000007,92.4,1.2,6.4,7.6
"Myriapoda",NA,5486,6051014,1195,0.640000000000001,99.4,0.2,0.4,0.6
"Myriapoda",NA,124633,120772880,990,0.930000000000007,77.2,5.7,17.1,22.8
"Myriapoda",NA,200900,181198280,927,2.87,59.8,9.1,31.1,40.2
"Myriapoda",NA,117526,176188876,1896,0.430000000000007,48.4,18.3,33.3,51.6
"Myriapoda",NA,166149,191768128,1280,0.939999999999998,50,19.6,30.4,50
